NER,ingredients,directions
"['Flour, Salt, Baking Powder, Sugar, Crisco, egg, vinegar, Water']","[' 5 c. flour', ' 1 tsp. salt', ' 2 tsp. baking powder', ' 2 tsp. sugar', ' 2 c. shortening', ' 1 egg', ' 1 tbsp. vinegar', ' 1/2 c. water']","[' add the egg, vinegar and water to the first 5 ingredients.', ' mix until crumbly.', ' add more flour if needed.', ' chill for 1 hour before rolling out.']"
"['thin pretzels, margarine']","[' 1 1/4 c. thin pretzels, crushed', ' 3/4 c. margarine or butter']","[' mix pretzels with margarine.', ' press into a 9 x 13 inch ungreased pan. bake at 350 for 10 minutes.', ' cool.']"
"['sugar, orange juice, lemon juice']","[' 1 1/3 c. sugar', ' 1 pkg. kool aid', ' 2 c. orange juice', ' 1/2 c. lemon juice']","[' make kool aid as directed.', ' add orange and lemon juices.', ' freeze.', ' enjoy.']"
"['sour cream, mayo, parsley flakes, onion, Worcestershire sauce, Accent, season salt, dill weed']","[' 1 c. sour cream', ' 1 c. mayo', ' 1 tbsp. parsley flakes', ' 1 tbsp. minced onion', ' 1 tsp. mrs. dash', ' 2 tsp. mrs. dash', ' 1 tsp. mustard a bit darker', ' 2 tsp. worcestershire sauce', ' 1 tsp. accent', ' 1 tsp. season salt', ' 2 tsp. dill weed']","[' mix ingredients.', ' store in covered bowl in refrigerator.', ' good on party rye, pumpernickel, etc.']"
"['sugar, water, active dry yeast, milk, water, salt, sugar, baking powder, raisins, egg yolks, egg whites, flour, oil']","[' 1 tablespoon sugar', ' 1 cup water lukewarm', ' 2 packages active dry yeast 1 oz each', ' 3/4 cup milk warm', ' 1 cup water lukewarm', ' 2 teaspoons salt', ' 3 tablespoons sugar', ' 1 teaspoon baking powder', ' 2 cups raisins, chopped', ' 2 egg yolks', ' 2 egg whites', ' 4 1/2 cups flour', ' 1/4 cup oil']","[' dissolve 1 t sugar in 1 cup water and dissolve yeast.', ' combine warm milk, 1 cup water, salt, 2 tbsp sugar, baking powder, raisins, and egg yolks.', ' beat well with electric mixer.', ' add yeast mixture, egg whites, flour, and oil.', ' beat with electric mixer until smooth.', ' pour into a greased bowl.', ' cover and let rise in warm place 45 minutes.', ' preheat oven to 350.', ' punch down dough, turn out onto floured surface, and knead briefly.', ' roll into a rectangle about 18 x 9 inches.', ' cut into 2x1 inch squares.', ' place on lightly oiled baking sheets and place in oven until a light brown, about 10 minutes.', ' cut each square in half horizontally.', ' fill a small bowl half full of boiling water.', ' while dough is baking, drop 2 heaping tbsp. of jam into center of each square.', ' bake 5 to 6 minutes, or until jam is slightly hard, but not hard.']"
"['sweet roll, cinnamon, nuts, milk, butter, brown sugar, vanilla pudding']","[' 1 pkg. sweet roll mix', ' 1 tsp. cinnamon', ' 1 c. nuts', ' 1 tbsp. milk', ' 1/2 c. butter', ' 1 c. brown sugar', ' 1 pkg. vanilla pudding not instant']","[' grease a bundt pan.', ' cut roll dough into fourths.', ' put in pan.', ' sprinkle cinnamon and nuts on rolls.', ' in saucepan, melt butter, brown sugar and pudding.', ' heat until sticky, then pour over rolls.', ' let rise in a warm place overnight.', ' bake at 350 for 25 to 30 minutes.']"
"['chicken, carrots, garlic, green bell pepper, brown rice, chili powder, tomato sauce, garlic, pepper, water, cider vinegar, onion, olive oil, bay leaf']","[' 1 whole chicken', ' 3 carrots', ' 4 garlic cloves, minced', ' 1 green bell pepper', ' 12 cup brown rice', ' 1 teaspoon chili powder', ' 1 8 ounce can tomato sauce', ' 12 teaspoon garlic powder', ' 12 teaspoon pepper', ' 1 cup water', ' 2 tablespoons cider vinegar', ' 1 onion', ' 14 cup olive oil', ' 1 bay leaf']","[' in a bowl combine tomato sauce and water.', ' set aside.', ' wash chicken and pat dry.', ' cut into half breasts.', ' wash and slice carrots.', ' sprinkle chicken with garlic and pepper.', ' coat bottom of large sauce pan with olive oil.', ' add chicken and brown.', ' after browning remove chicken from pan.', ' add chopped onion, carrots and brown 1 minute.', ' add 2 cloves of minced garlic.', ' add the juice of the other clove of garlic.', ' add the remaining minced garlic, sliced green pepper, bay leaf, tomatoes, vinegar, and chili powder.', ' stir to mix well.', ' add chicken back to pan.', ' cover pan and bring to a boil.', ' reduce heat and simmer for 40 minutes or until chicken is cooked through and the sauce is thickened.', ' serve over cooked brown rice.']"
"['sweet potatoes, green bell pepper, onion, lemon pepper, mayonnaise, pepper']","[' 2 large sweet potatoes', ' 1 green bell pepper', ' 1 onion', ' 2 tbsp lemon pepper seasoning', ' 1/3 cup mayonnaise', ' 2 tbsp crushed pepper']","[' preheat oven to 350', ' boil the sweet potatoes.', ' saute the green pepper and onion with the lemon pepper seasoning until the onions are translucent.', ' while the onions are cooking prepare your mayonnaise.', ' allow the mayonnaise to cool and add the crushed pepper.', ' once the onions have been cooked add the mayonnaise into the sauteed vegetables and mix well.', ' add the sweet potatoes and mix well again.', ' then serve warm.']"
"['sugar, flour, baking soda, salt, orange, shortening']","[' 1 cup sugar', ' 2 cups all purpose flour', ' 1 teaspoon baking soda', ' 1 pinch salt', ' 1 orange, peeled and sectioned', ' 1/2 cup shortening']","[' mix all ingredients together well.', ' pour into a greased and floured 9x13 inch pan.', ' bake at 350 degrees f 175 degrees c for 30 minutes.']"
"['vegetable shortening, eggs, milk, vanilla, margarine, sugar, flour']","[' 1 c. vegetable shortening', ' 5 eggs', ' 1 c. milk', ' 1 tsp. vanilla', ' 1/2 lb. margarine', ' 3 c. sugar', ' 3 c. flour self rising']","[' combine margarine, sugar and shortening.', ' cream well. add eggs, one at a time, beating well after each addition.', ' add sifted flour alternately with milk.', ' add vanilla.', ' bake in a tube pan at 325 for 1 1/2 hours.']"
"['ground sausage, noodles, rosemary, basil, cayenne pepper, sage, oregano, bell pepper, onion, watch, mozzarella cheese']","[' 1 lb. ground sausage', ' 10 oz. pkg. noodles', ' 1/8 tsp. rosemary', ' 1/8 tsp. basil', ' 1/8 tsp. cayenne pepper', ' 1/4 tsp. sage', ' 1/4 tsp. oregano', ' 1 bell pepper', ' 1/2 onion', ' 1 can cheese sauce watch out for clumps', ' 1 8 oz. pkg. mozzarella cheese']","[' brown sausage, drain.', ' add pepper, onion and spices.', ' simmer until tender.', ' cook noodles.', ' drain noodles.', ' add meat sauce to noodles.', ' put in 9 x 13 inch pan.', ' top with mozzarella cheese.', ' bake at 350 for 30 minutes.']"
"['mushrooms, butter, basil, salt, whipping cream, Parmesan cheese, tomatoes']","[' 10 to 12 large mushrooms', ' butter', ' basil', ' salt and pepper', ' 1 c. whipping cream', ' 1 c. parmesan cheese', ' 2 to 3 medium tomatoes, cut in slices']","[' preheat oven to 350.', ' clean mushrooms.', ' clean mushrooms and slice.', ' place on cookie sheet.', ' dot with butter.', ' sprinkle with basil, salt and pepper.', ' bake for 20 minutes.', ' cool.', ' in bowl, combine cream and parmesan cheese beat until smooth.', ' pour over mushrooms and top with tomato slices.', ' bake 10 minutes longer.']"
"['wieners, bottles']","[' 2 lb. wieners', ' 2 large bottles cocktail cocktail beer']","[' cook wieners until all pink is gone, then drain the water and slice.', ' add cocktail beer and simmer about 30 minutes.', ' serves approximately 18.', ' save the beer you cooked the wieners in for another meal.']"
"['green pepper, onion, garlic, oil, tomatoes, kidney beans, pinto beans, whole kernel corn, water, long grain rice, chili powder, ground cumin']","[' 1/4 c. chopped green pepper', ' 1/4 c. chopped onion', ' 1 garlic clove, minced', ' 1 tbsp. oil', ' 1 16 oz. can tomatoes, undrained and chopped', ' 1 15 1/2 oz. can kidney beans, drained and rinsed', ' 1 15 1/2 oz. can pinto beans, drained and rinsed', ' 1 8 1/4 oz. can whole kernel corn, undrained', ' 3 c. water', ' 1/2 c. uncooked long grain rice', ' 1/2 tsp. chili powder', ' 1/4 tsp. ground cumin']","[' in a 3 quart saucepan, saute pepper, onion and garlic in oil for 2 minutes.', ' add remaining ingredients.', ' heat to boiling reduce heat.', ' simmer, covered, for 30 minutes or until rice is tender and liquid is absorbed.', ' yield', ' 6 cups.']"
"['chocolate cake mix, containers, Kahlua liqueur']","[' 1 pkg. chocolate cake mix', ' 2 10 oz. containers cool whip', ' 1/3 c. peach schnapps', ' 1/4 c. kahlua liqueur optional']","[' bake cake according to package directions for 2 round layers.', ' cool completely.', ' poke holes in each layer with large fork and cover each layer with 1/4 c. peach schnapps.', ' pour 1/3 c. liqueur over each layer.', ' fill holes with 1/2 cool whip.', ' cover with remaining cool whip and refrigerate.']"
