Ingredients,Generated Recipe
"[""Flour"", ""Salt"", ""Baking Powder"", ""Sugar"", ""Crisco"", ""egg"", ""vinegar"", ""Water""]","Flour and Salt Crackers

Ingredients:

- 2 cups all-purpose flour 
- 1 teaspoon salt 
- 1 teaspoon baking powder 
- 1/4 cup sugar 
- 1/4 cup Crisco 
- 1 egg 
- 1 tablespoon white vinegar 
- 1/4 cup water

Instructions:

1. Preheat oven to 375°F.

2. In a large bowl, combine the flour, salt, baking powder, and sugar.

3. Cut in the Crisco until the mixture resembles coarse meal.

4. In a small bowl, whisk together the egg, vinegar and water.

5. Add the wet ingredients to the dry ingredients, stirring until just combined.

6. Turn dough out onto a lightly floured surface and knead for 1 minute.

7. Roll out dough to 1/8 inch thick and cut into desired shapes. (A pizza cutter works great for this.)

8. Place crackers on a lightly greased baking sheet.

9. Bake for 10-15 minutes, or until golden brown.

10. Cool on wire racks before serving."
"[""thin pretzels"", ""margarine""]","Thin Pretzel Margarine Cookies

Ingredients:

- 2 cups of thin pretzels
- 1 cup of softened margarine
- ½ cup of granulated sugar
- 2 tablespoons of light corn syrup
- 2 teaspoons of vanilla extract

Directions:

1. Preheat oven to 350°F.

2. Line a baking sheet with parchment paper, set aside.

3. Place the pretzels in a food processor and process until they become crumbs.

4. In a medium bowl, combine the processed pretzel crumbs, margarine, sugar, and corn syrup. Mix well until fully combined.

5. Using a spoon or cookie scoop, take 1 tablespoon of dough and roll into balls. Place on the prepared baking sheet.

6. Bake for 10-12 minutes until lightly golden brown.

7. Remove from oven and allow to cool slightly before transferring to a wire cooling rack.

8. Enjoy!"
"[""sugar"", ""orange juice"", ""lemon juice""]","Orange and Lemon Juice Refresher
Ingredients:
- Sugar, 2 tablespoons
- Orange juice, 1 cup
- Lemon juice, 1/2 cup

Instructions:
1. In a blender or food processor, combine the sugar, orange juice, and lemon juice.
2. Blend until the mixture is smooth and free of any chunks.
3. Pour the mixture into glasses and serve immediately. Enjoy!"
"[""sour cream"", ""mayo"", ""parsley flakes"", ""onion"", ""Worcestershire sauce"", ""Accent"", ""season salt"", ""dill weed""]","Sour Cream Parsley Flakes Salad

Ingredients:
1 cup sour cream
1/4 cup mayo
2 tablespoons parsley flakes
2 tablespoons minced onion
1 tablespoon Worcestershire sauce
1 teaspoon Accent seasoning
1/2 teaspoon sea salt
1/4 teaspoon dill weed

Instructions:
1. In a large bowl, whisk together the sour cream, mayo, parsley flakes, minced onion, Worcestershire sauce, Accent seasoning, sea salt and dill weed. 
2. Mix until all ingredients are well combined. 
3. Serve chilled as a side dish or as a topping over a bed of greens. Enjoy!"
"[""sugar"", ""water"", ""active dry yeast"", ""milk"", ""water"", ""salt"", ""sugar"", ""baking powder"", ""raisins"", ""egg yolks"", ""egg whites"", ""flour"", ""oil""]","No-Knead Raisin Bread:

Ingredients:

-1/4 cup active dry yeast 
-2 teaspoons sugar 
-2 cups warm water 
-1 teaspoon salt 
-4 tablespoons sugar 
-3 cups all purpose flour 
-3/4 cup raisins 
-2 eggs (yolks and whites separated) 
-1 cup milk 
-2 tablespoons oil 
-2 tablespoons baking powder 

Instructions:

1. In a large bowl, combine the yeast, 2 teaspoons of sugar and warm water. Stir to combine and set aside for 10 minutes until foamy.

2. Add the salt, 4 tablespoons of sugar, flour, raisins, egg yolks and milk to the bowl.

3. Mix together with a wooden spoon until the ingredients are combined.

4. Add the oil, baking powder and egg whites. Mix together until a soft dough forms.

5. Turn the dough out onto a lightly floured surface and knead for 5 minutes until the dough is smooth.

6. Place the dough in a greased bowl, cover and let rise for 1 hour or until doubled in size.

7. Preheat the oven to 375F.

8. Punch down the dough and shape into a loaf. Place on a greased baking sheet.

9. Bake for 35-40 minutes until golden brown.

10. Let cool before slicing. Enjoy!"
"[""sweet roll"", ""cinnamon"", ""nuts"", ""milk"", ""butter"", ""brown sugar"", ""vanilla pudding""]","Cinnamon Sweet Roll Bake

Ingredients:

- 2 cans of cinnamon sweet rolls with icing
- ½ cup chopped nuts
- ¼ cup milk
- 2 tablespoons butter, melted 
- 4 tablespoons light brown sugar
- 1 teaspoon vanilla extract
- Vanilla pudding mix

Instructions:

1. Preheat oven to 350°F and lightly grease a 9x13 inch baking dish. 
2. Unroll the cinnamon sweet rolls onto a cutting board and spread the chopped nuts over the surface.
3. Cut the dough into 6 equal pieces.
4. Roll each piece up and place in the greased baking dish.
5. In a small bowl, whisk together the milk, melted butter, brown sugar, and vanilla extract.
6. Pour the mixture evenly over the sweet rolls.
7. Sprinkle the vanilla pudding mix over the sweet roll bake.
8. Bake for 25-30 minutes until golden brown.
9. Let cool before serving. Enjoy!"
"[""chicken"", ""carrots"", ""garlic"", ""green bell pepper"", ""brown rice"", ""chili powder"", ""tomato sauce"", ""garlic"", ""pepper"", ""water"", ""cider vinegar"", ""onion"", ""olive oil"", ""bay leaf""]","Spicy Chicken and Rice

Ingredients: 

- 2 chicken breasts, cubed 
- 2 large carrots, diced 
- 2 cloves of garlic, minced 
- 1 green bell pepper, chopped 
- 1 cup of brown rice 
- 1 teaspoon of chili powder 
- 1/2 cup of tomato sauce 
- 1/4 teaspoon of garlic powder 
- 1/4 teaspoon of ground black pepper 
- 1/2 cup of water 
- 2 tablespoons of cider vinegar 
- 1/4 cup of diced onion 
- 2 tablespoons of olive oil 
- 1 bay leaf

Instructions:

1. Preheat a large skillet over medium heat and add olive oil. 
2. Add the diced onion and sauté for 5 minutes until lightly browned. 
3. Add in the chicken cubes and cook for 8 minutes, stirring occasionally, or until lightly golden.
4. Add the carrots, green bell peppers, garlic, garlic powder, chili powder, and ground black pepper. Stir to combine. 
5. Pour in the tomato sauce, water, cider vinegar, and bay leaf. Stir to combine. 
6. Increase the heat to high and bring the mixture to a boil. 
7. Reduce the heat to low and let simmer for 15 minutes. 
8. Add in the brown rice, stir to combine, and cover the skillet with a lid. 
9. Simmer for 25 minutes or until the rice is cooked through and most of the liquid has been absorbed. 
10. Remove from heat and serve warm. Enjoy!"
"[""sweet potatoes"", ""green bell pepper"", ""onion"", ""lemon pepper"", ""mayonnaise"", ""pepper""]","Sweet Potato Fritters with Green Bell Pepper, Onion, Lemon Pepper, and Mayonnaise

Ingredients:

-3 large sweet potatoes, peeled and grated
-1/2 green bell pepper, chopped
-1/4 onion, chopped
-1 teaspoon lemon pepper
-2 tablespoons mayonnaise
-Salt and pepper to taste

Instructions:

1. In a bowl, mix together the grated sweet potatoes, bell pepper, onion, lemon pepper, and mayonnaise until everything is well combined.

2. Season with salt and pepper to taste.

3. Heat a large skillet over medium heat and add a few tablespoons of oil.

4. Form the potato mixture into patties, about 3 inches in diameter, and place into the hot skillet.

5. Cook for about 4 minutes on each side until golden brown.

6. Serve warm with your favorite dipping sauce. Enjoy!"
"[""sugar"", ""flour"", ""baking soda"", ""salt"", ""orange"", ""shortening""]","Orange Shortening Cookies 
Ingredients:
- 1 cup sugar 
- 2 cups flour 
- 1 teaspoon baking soda 
- ¼ teaspoon salt 
- ½ cup shortening 
- 1 teaspoon orange extract 
Instructions: 
1. Preheat oven to 375°F. 
2. In a medium bowl, mix together the sugar, flour, baking soda and salt. 
3. Cut in the shortening with a pastry blender or two forks until it resembles coarse crumbs. 
4. Add the orange extract and mix until incorporated.
5. Drop by rounded tablespoonfuls onto an ungreased cookie sheet. 
6. Bake for 10 to 12 minutes or until golden brown. 
7. Let cool slightly before transferring to cooling racks."
"[""vegetable shortening"", ""eggs"", ""milk"", ""vanilla"", ""margarine"", ""sugar"", ""flour""]","Vanilla Shortening Egg Cake

Ingredients:

- ½ cup shortening
- 2 eggs
- 1 cup milk
- 1 teaspoon vanilla
- 2 tablespoons margarine
- ¾ cup sugar
- 1 ¾ cups flour

Instructions:

1. Preheat oven to 350°F (175°C). Grease and lightly flour an 8-inch cake pan.

2. In a medium bowl, cream together the shortening, eggs and milk until light and fluffy.

3. Add the vanilla, margarine, sugar and flour and mix until just combined.

4. Pour the batter into the prepared pan and bake for 25–30 minutes, or until a toothpick inserted in the center comes out clean.

5. Allow the cake to cool before serving. Enjoy!"
