NER,ingredients,directions
"['Flour', 'Salt', 'Baking Powder', 'Sugar', 'Crisco', 'egg', 'vinegar', 'Water:']","['1 1/2 lb. fresh or frozen cabbage', '1 c. Water', '1 c. flour', '1 tsp. Pariested Flakes', '1 Tbsp. Crisco', '1 egg', '1 tsp. salt', '1 tsp. vinegar', '1 tsp. Parmesan']","['Cut cabbage into 1/2-inch slices.', 'Combine brown sugar, flour, salt, garlic powder and water.', 'Combine egg, vinegar and mustard in a small bowl.', 'Add to dry ingredients, stirring until moistened.', 'Spoon into greased muffin pan.', 'Bake at 400° for 20 minutes or until golden brown.', 'Yield:', '12 slices.']"
"['thin pretzels', 'margarine:']","['3 c. flour', '1 c. cottage cheese']","['Mix together and roll into balls.', 'Bake at 350° for 15 minutes.']"
"['sugar', 'orange juice', 'lemon juice:']","['1 1/2 c. flour', '1 c. cooking oil', '1 c. chopped pecans']","['Mix all ingredients together and pour into a greased 9 x 13-inch pan.', 'Bake at 350° for 30 minutes.']"
"['sour cream', 'mayo', 'parsley flakes', 'onion', 'Worcestershire sauce', 'Accent', 'season salt', 'dill weed:']","['3 lb. fresh or frozen potatoes', '1 c. coarsely grated onion', '1 c. grated Parmesan cheese', '1 c. Bisquick', '1/2 c. mayonnaise', '1 tsp. Worcestershire sauce']","['Cut potatoes in half lengthwise.', 'Cut each potato in half lengthwise.', 'Cut each potato in half lengthwise.', 'Cut each potato into 8 wedges.', 'Set aside.', 'In a small bowl, combine potato flakes, Parmesan cheese, milk, baking powder, pepper and vinegar.', 'Stir in potatoes.', 'Spoon mixture into prepared muffin cups.', 'Bake at 400° for 12 to 15 minutes or until golden brown.', 'Makes 12 muffins.']"
"['sugar', 'water', 'active dry yeast', 'milk', 'water', 'salt', 'sugar', 'baking powder', 'raisins', 'egg yolks', 'egg whites', 'flour', 'oil:']","['1 1/2 lb. shortbread cake (about 3 lb.)', '1 c. Wesson oil', '1 c. powdered sugar', '1 tsp. vanilla extract', '1 c. milk', '1 c. grated orange rind', '1 c. flour', '1 c. sugar', '1 tsp. salt', '2 egg yolks', '1 c. grated lemon peel', '1 c. grated lemon peel', '1 c. warm water']","['Preheat oven to 350°.', 'Grease and flour a 9 x 13-inch pan.', 'Sprinkle yeast in 1/4 cup lukewarm water.', 'Stir in 1 cup warm water and 1 cup sugar.', 'Stir in remaining ingredients except flour.', 'Beat at medium speed for 3 minutes.', 'Add 1 cup flour and beat until smooth.', 'Add remaining flour and beat until smooth.', 'Cover and let rise in warm place until double in bulk, about 1 hour.', 'Punch down and roll out to 1/2-inch thickness.', 'Cut with a 2 1/2-inch round cutter.', 'Place on ungreased cookie sheet.', 'Bake at 375° for 10 minutes.', 'Remove from pans and cool on wire racks.']"
"['sweet roll', 'cinnamon', 'nuts', 'milk', 'butter', 'brown sugar', 'vanilla pudding:']","['1 lb. frozen shredded hash browns', '1/4 c. Crisco oil', '1/2 c. sugar', '1/4 tsp. ground cardamon', '1 c. pecan pieces']","['Combine all ingredients except brown sugar and pecans.', 'Press into a 9 x 13-inch pan.', 'Bake at 350° for 15 minutes.', 'Cool.', 'Spread on peanut butter and sprinkle with remaining crumbs.', 'Chill and serve.']"
"['chicken', 'carrots', 'garlic', 'green bell pepper', 'brown rice', 'chili powder', 'tomato sauce', 'garlic', 'pepper', 'water', 'cider vinegar', 'onion', 'olive oil', 'bay leaf:']","['1 1/2 lb. fresh shrimp, cooked and drained', '1/2 c. flour', '1/2 c. Parmesan cheese', '1 Tbsp. onion powder', '1 Tbsp. vinegar', '1 Tbsp. cayenne pepper', '1 c. grated Cheddar cheese', '1 can chickpeas']","['Combine first 5 ingredients in a saucepan.', 'Bring to a boil. Reduce heat and simmer for 10 minutes.', 'Remove from heat; stir in cornstarch and water.', 'Stir in vinegar and sugar.', 'Cook and stir until thickened.', 'Add cheese and stir until melted.', 'Serve over hot rice.']"
"['sweet potatoes', 'green bell pepper', 'onion', 'lemon pepper', 'mayonnaise', 'pepper:']","['1 c. flour', '1 c. grated Parmesan cheese']","['Mix all ingredients well.', 'Put in a greased bowl and bake at 350° for 30 minutes.']"
"['sugar', 'flour', 'baking soda', 'salt', 'orange', 'shortening:']","['1 1/2 c. flour', '1/2 c. cooking oil', '1 tsp. vanilla', '1 c. grated Cheddar cheese', '1/2 tsp. salt']","['Combine all ingredients and mix well.', 'Drop by teaspoonfuls on greased cookie sheet.', 'Bake at 350° for 12 minutes.']"
"['vegetable shortening', 'eggs', 'milk', 'vanilla', 'margarine', 'sugar', 'flour:']","['1 1/2 lb. shortbread cake (about 1 1/2 lb.)', '1 Tbsp. Grated orange peel', '2 eggs', '1 tsp. vanilla', '1/2 c. Crisco', '1 c. granulated sugar', '1/2 c. margarine', '1 c. cake flour']","['Preheat oven to 350°.', 'Grease and flour a 10 x 15-inch jelly roll pan.', 'Combine all ingredients and beat well.', 'Bake for 25 to 30 minutes.', 'Cool completely before cutting into squares.']"
"['ground sausage', 'noodles', 'rosemary', 'basil', 'cayenne pepper', 'sage', 'oregano', 'bell pepper', 'onion', 'watch', 'mozzarella cheese:']","['1 lb. flank steak', '1 Tbsp. Worcestershire sauce', '1 Tbsp. catsup', '1 Tbsp. parsley', '1/2 c. olive oil', '1 lb. ground beef', '1 medium onion, chopped', '1 green pepper, chopped', '1 tsp. basil', '1/2 tsp. thyme']","['Cook potatoes in boiling water for 10 minutes.', 'Drain and set aside.', 'In a large skillet, brown meat and onion.', 'Drain off fat.', 'Add remaining ingredients except potatoes.', 'Cover and simmer for 1 hour.', 'Add potatoes and cook until potatoes are tender.', 'Serve over noodles.']"
"['mushrooms', 'butter', 'basil', 'salt', 'whipping cream', 'Parmesan cheese', 'tomatoes:']","['1 lb. fresh or frozen carrots, thawed', '1 tsp. Worcestershire sauce', '1/4 c. butter', '1/4 c. chopped parsley', '1 (10 oz.) pkg. frozen chopped spinach, thawed and drained', '1 tsp. salt', '1 c. whipping cream']","['Cook broccoli according to package directions.', 'Drain and cool.', 'Combine broccoli, water chestnuts, butter, salt, pepper, garlic powder and sugar.', 'Stir in mayonnaise.', 'Spoon into 1 1/2-quart casserole.', 'Top with remaining cheese.', 'Bake at 350° for 20 minutes or until heated through.', 'Makes 6 servings.']"
